card_id,customer_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
C01090,1794,Visa,Credit,4952********6367,2028-05-01,128,Yes,2,"5,000",2014-07-06,2022,No
C00288,2709,Mastercard,Debit,4878********4490,2030-03-01,935,Yes,4,"15,000",2015-02-20,2021,No
C09267,1729,Mastercard,Credit,5753********3333,2030-11-01,909,Yes,4,"20,000",2011-12-12,2018,No
C05689,2547,American Express,Credit,5878********5586,2025-12-01,958,Yes,2,"5,000",2020-05-02,2023,No
C02132,1530,Mastercard,Debit,5938********9359,2029-02-01,170,Yes,4,"20,000",2019-04-02,2023,No
C05308,2238,American Express,Credit,5752********8977,2030-05-01,797,Yes,3,"15,000",2010-12-16,2021,Yes
C02231,2019,Mastercard,Credit,5603********2910,2025-03-01,715,Yes,4,"15,000",2016-07-24,2022,No
C09990,2527,Visa,Credit,4661********1765,2027-12-01,109,Yes,4,"10,000",2019-11-08,2023,No
C10759,2989,Mastercard,Credit,5996********8427,2030-02-01,824,Yes,1,"5,000",2022-12-26,2022,No
C02385,912,Visa,Credit,4694********9303,2027-02-01,724,Yes,2,"15,000",2017-07-01,2020,No
C11418,702,Mastercard,Credit,5986********3005,2028-09-01,196,Yes,1,"15,000",2017-03-03,2021,No
C04214,1154,Mastercard,Credit,5520********8804,2027-04-01,787,Yes,3,"5,000",2023-08-15,2023,No
C04447,883,Mastercard,Credit,4728********9800,2028-12-01,279,Yes,4,"15,000",2018-06-18,2023,No
C11618,2149,Mastercard,Credit,4972********1970,2028-06-01,813,Yes,3,"5,000",2017-07-06,2021,No
C00210,2802,Visa,Debit,4542********6387,2027-06-01,537,Yes,1,"15,000",2010-07-10,2022,No
C05353,708,Visa,Debit,4716********7186,2026-10-01,811,Yes,1,"20,000",2018-06-07,2021,No
C04220,120,Visa,Debit,4155********7784,2027-05-01,167,Yes,4,"15,000",2023-12-18,2019,Yes
C07147,538,Visa,Debit,5098********4202,2025-03-01,204,Yes,4,"15,000",2012-07-22,2023,No
C00590,2152,Visa,Debit,5838********1186,2029-10-01,176,No,3,"10,000",2022-10-01,2022,No
C08325,580,American Express,Debit,5845********2931,2030-07-01,686,No,3,"5,000",2019-03-04,2022,No
C03840,1782,Mastercard,Credit,5431********1936,2030-06-01,203,Yes,4,"15,000",2010-09-28,2019,No
C05121,470,Visa,Credit,5911********3745,2026-12-01,887,No,2,"5,000",2019-03-18,2023,No
C08532,986,Visa,Credit,4367********7125,2026-03-01,743,Yes,2,"5,000",2018-11-09,2021,No
C07554,1304,Visa,Credit,4178********5409,2026-10-01,620,Yes,4,"15,000",2023-02-26,2021,No
C03307,561,Visa,Credit,5605********4750,2029-06-01,744,Yes,4,"5,000",2011-05-20,2018,No
C10877,2025,Visa,Credit,5533********3591,2030-05-01,269,Yes,4,"25,000",2016-09-20,2020,No
C08174,2551,Mastercard,Credit,5581********1657,2030-06-01,265,Yes,3,"10,000",2015-09-10,2023,No
C01637,2097,Mastercard,Credit,4667********3411,2028-02-01,517,Yes,4,"15,000",2014-04-14,2023,No
C09994,1691,Visa,Credit,4196********8343,2030-02-01,353,Yes,2,"20,000",2020-03-24,2018,No
C03319,2832,Mastercard,Credit,4832********1079,2027-12-01,750,Yes,4,"15,000",2022-10-28,2019,No
C04933,2212,Mastercard,Credit,5989********5218,2029-03-01,533,Yes,1,"5,000",2012-05-24,2019,Yes
C01466,2804,Mastercard,Debit,4813********2282,2025-09-01,710,Yes,4,"25,000",2023-04-01,2023,No
C10820,2824,Mastercard,Debit,4644********9972,2028-07-01,646,Yes,1,"5,000",2023-09-25,2023,No
C04888,572,Mastercard,Debit,4419********8587,2030-12-01,937,No,2,"5,000",2013-05-15,2023,No
C11888,818,Visa,Credit,4985********8762,2030-08-01,371,Yes,4,"10,000",2016-11-05,2021,No
C08667,2929,American Express,Credit,4068********5128,2029-06-01,679,Yes,2,"15,000",2020-12-08,2021,No
C02360,1442,Visa,Debit,5759********5979,2030-09-01,516,No,3,"10,000",2017-12-05,2019,No
C03450,815,Visa,Credit,4786********3911,2029-08-01,561,Yes,3,"15,000",2021-12-20,2022,No
C02276,2993,Visa,Credit,4573********6595,2025-03-01,165,Yes,4,"15,000",2020-02-14,2018,No
C10020,1625,Visa,Credit,4022********2669,2026-06-01,846,Yes,1,"5,000",2019-12-21,2021,No
C02001,1892,Mastercard,Credit,4441********2439,2030-06-01,703,Yes,1,"5,000",2010-12-13,2018,No
C08972,641,Mastercard,Debit,5340********7131,2030-10-01,815,No,2,"15,000",2012-07-05,2022,No
C10636,797,Visa,Credit,5300********1252,2026-07-01,514,Yes,2,"5,000",2017-02-09,2023,Yes
C07509,491,Visa,Debit,5082********9057,2030-03-01,346,No,1,"15,000",2011-09-03,2022,No
C10312,1174,Visa,Debit,5861********5249,2026-11-01,371,Yes,1,"5,000",2014-10-23,2023,No
C03530,653,Mastercard,Credit,5268********1853,2030-12-01,140,Yes,1,"15,000",2019-01-25,2020,Yes
C09278,2704,Mastercard,Credit,5337********8418,2030-09-01,745,Yes,2,"15,000",2022-05-08,2020,No
C06649,1414,Visa,Debit,5076********8025,2029-07-01,131,No,1,"10,000",2022-08-14,2021,No
C01472,1894,Mastercard,Debit,4362********7936,2026-01-01,995,Yes,1,"25,000",2017-04-05,2019,No
C09203,1298,Visa,Credit,4162********5086,2028-01-01,231,Yes,4,"15,000",2018-11-14,2020,No
C05977,2661,Visa,Credit,5993********7716,2025-03-01,896,Yes,4,"10,000",2017-02-22,2020,No
C05788,2883,Visa,Credit,5685********5029,2026-07-01,633,Yes,1,"15,000",2017-07-26,2023,No
C10756,1511,Mastercard,Debit,5883********3300,2028-08-01,363,Yes,1,"10,000",2016-02-16,2022,No
C04954,770,Visa,Credit,5963********1586,2028-12-01,688,Yes,4,"25,000",2010-05-11,2019,No
C06541,2510,Mastercard,Credit,5933********3660,2025-04-01,995,Yes,1,"20,000",2017-01-28,2020,No
C07266,1817,Mastercard,Debit,4209********1533,2027-07-01,742,Yes,3,"15,000",2022-11-06,2022,No
C10704,1167,Mastercard,Debit,5143********2878,2030-03-01,204,Yes,1,"15,000",2019-11-01,2020,Yes
C02921,1170,American Express,Credit,4466********3164,2028-01-01,797,Yes,1,"10,000",2014-04-08,2020,Yes
C02970,1848,American Express,Debit,5159********3680,2030-06-01,919,Yes,4,"5,000",2015-08-19,2020,No
C00108,911,Mastercard,Debit,4140********5103,2028-03-01,813,Yes,3,"15,000",2012-10-03,2020,No
C01382,1008,Mastercard,Credit,5468********1557,2027-02-01,844,Yes,4,"10,000",2010-03-14,2021,No
C03422,1865,Visa,Debit,4643********7469,2030-10-01,517,Yes,1,"15,000",2012-01-09,2019,No
C06790,825,Mastercard,Credit,5351********9117,2028-07-01,120,Yes,1,"5,000",2010-10-21,2021,No
C10982,495,Mastercard,Debit,4220********9025,2028-06-01,365,Yes,3,"15,000",2016-11-26,2019,No
C11236,2289,Visa,Debit,5082********5863,2028-08-01,326,Yes,3,"20,000",2011-10-07,2021,No
C06737,2430,Visa,Credit,4876********6835,2025-04-01,868,Yes,1,"20,000",2020-04-04,2022,No
C09883,1951,Visa,Credit,4634********3927,2030-07-01,210,Yes,3,"10,000",2014-04-03,2021,No
C04840,908,American Express,Credit,4864********7921,2025-03-01,476,Yes,4,"10,000",2019-09-21,2023,No
C02529,139,Visa,Debit,4796********2624,2027-07-01,922,Yes,1,"5,000",2020-04-15,2022,No
C07157,2046,Visa,Credit,4959********1166,2027-10-01,484,Yes,3,"20,000",2014-08-05,2023,No
C06842,1714,Mastercard,Credit,5733********1906,2025-02-01,353,Yes,2,"10,000",2013-08-23,2019,No
C05972,1386,American Express,Credit,5293********7725,2029-11-01,291,Yes,1,"5,000",2021-10-18,2019,No
C07871,1377,Visa,Credit,4492********7158,2027-10-01,690,Yes,2,"5,000",2019-11-16,2019,No
C11681,2276,Visa,Debit,5432********5337,2026-11-01,135,No,1,"15,000",2012-02-22,2020,No
C10833,2555,Visa,Credit,5468********6599,2027-08-01,708,Yes,2,"15,000",2010-11-20,2019,No
C02081,1348,Mastercard,Debit,5285********3960,2026-04-01,947,Yes,1,"10,000",2020-04-12,2022,No
C05732,395,Mastercard,Debit,4571********7295,2025-01-01,228,No,2,"5,000",2022-11-15,2022,No
C01576,45,Visa,Credit,5704********6919,2025-11-01,758,Yes,3,"20,000",2019-02-01,2021,No
C09466,395,Mastercard,Debit,4775********7896,2029-11-01,563,No,4,"20,000",2012-10-13,2018,No
C08751,1530,Mastercard,Credit,4390********8920,2026-08-01,685,Yes,1,"10,000",2023-10-18,2018,Yes
C03967,495,Mastercard,Credit,4328********5393,2025-07-01,907,Yes,4,"5,000",2015-02-16,2023,No
C10925,1059,Mastercard,Credit,5773********2586,2026-10-01,294,Yes,3,"5,000",2019-02-28,2018,No
C10523,2517,Visa,Credit,5480********3151,2029-01-01,967,Yes,2,"10,000",2017-12-07,2018,No
C02183,758,Mastercard,Credit,5107********6318,2030-11-01,814,Yes,2,"15,000",2020-12-11,2021,No
C06586,959,Visa,Credit,4677********8430,2029-05-01,490,Yes,2,"5,000",2023-10-22,2020,No
C00526,1874,Mastercard,Credit,5586********6833,2027-03-01,953,Yes,4,"10,000",2020-02-27,2021,No
C09842,77,Mastercard,Credit,5995********5248,2028-06-01,873,Yes,1,"10,000",2018-01-23,2022,No
C03794,2290,Mastercard,Credit,4678********1203,2026-12-01,948,Yes,4,"20,000",2021-05-22,2019,No
C11633,1784,Visa,Credit,5111********3545,2030-07-01,134,Yes,1,"25,000",2020-06-27,2021,No
C10064,727,Visa,Credit,5811********2082,2029-04-01,190,Yes,4,"15,000",2018-02-28,2020,No
C05467,185,Visa,Debit,4115********5172,2030-02-01,414,Yes,3,"10,000",2022-04-18,2022,No
C04518,420,Mastercard,Debit,4431********2623,2027-07-01,563,Yes,1,"15,000",2015-01-25,2018,No
C10132,2631,Visa,Credit,4521********7890,2030-07-01,351,Yes,2,"20,000",2010-06-06,2021,No
C03072,2231,Mastercard,Debit,4752********7212,2029-10-01,301,Yes,2,"15,000",2020-04-08,2022,No
C00147,1896,Visa,Debit,5474********9463,2027-07-01,626,Yes,4,"20,000",2011-11-07,2018,No
C11905,1599,Mastercard,Credit,5277********7687,2026-01-01,780,Yes,2,"20,000",2017-01-10,2022,No
C05783,914,American Express,Credit,4042********8764,2030-01-01,265,Yes,4,"10,000",2023-04-07,2021,No
C10686,1231,Visa,Credit,5265********8616,2026-01-01,531,No,2,"10,000",2013-12-05,2019,No
C03696,1910,Mastercard,Credit,5677********5603,2028-04-01,650,No,2,"15,000",2021-05-25,2023,Yes
C07881,1801,Visa,Credit,4615********6891,2025-10-01,372,Yes,4,"15,000",2016-12-06,2023,No
C03356,2188,Mastercard,Credit,5200********8652,2029-12-01,255,No,4,"15,000",2015-04-24,2019,No
C01876,2944,Visa,Credit,4862********3582,2028-06-01,180,Yes,1,"15,000",2014-06-25,2021,No
C01872,2263,Visa,Credit,5758********1662,2028-10-01,477,No,2,"5,000",2012-02-27,2022,No
C11983,534,Mastercard,Credit,5307********6672,2030-05-01,726,No,1,"15,000",2010-06-24,2019,No
C08720,672,American Express,Debit,4714********1879,2030-01-01,438,Yes,4,"10,000",2015-09-09,2020,No
C08319,2507,Visa,Credit,5742********1311,2026-02-01,191,Yes,4,"20,000",2023-12-21,2020,No
C06430,2158,Visa,Debit,5475********7014,2028-05-01,603,Yes,3,"20,000",2014-07-28,2021,No
C03621,926,Visa,Credit,5419********5123,2030-07-01,734,Yes,2,"10,000",2013-05-05,2020,No
C10397,1929,Visa,Debit,5057********9818,2029-11-01,389,Yes,3,"5,000",2010-12-25,2023,No
C08357,299,Mastercard,Credit,5029********5540,2027-10-01,457,No,3,"25,000",2022-11-07,2023,No
C07357,2495,Mastercard,Credit,4730********7529,2030-05-01,112,Yes,1,"20,000",2016-09-01,2020,No
C05128,2723,Visa,Debit,5618********4701,2027-02-01,204,Yes,4,"5,000",2022-04-28,2020,Yes
C10559,809,Mastercard,Credit,4748********9558,2027-10-01,372,Yes,4,"20,000",2012-06-10,2018,No
C05848,759,American Express,Credit,5152********5059,2026-10-01,852,Yes,4,"20,000",2019-03-12,2021,No
C10747,1179,Mastercard,Credit,4897********1417,2027-04-01,558,Yes,4,"10,000",2013-03-15,2022,Yes
C11890,652,Mastercard,Credit,5598********2677,2029-04-01,150,Yes,4,"10,000",2017-01-06,2022,No
C10945,1948,Visa,Credit,4253********1896,2027-04-01,962,Yes,2,"20,000",2012-08-06,2022,No
C00686,1505,Mastercard,Credit,5972********4617,2029-05-01,311,Yes,4,"15,000",2012-08-03,2018,No
C06666,1915,Visa,Credit,5268********4750,2028-11-01,423,No,1,"5,000",2014-11-10,2022,No
C10962,2402,Mastercard,Credit,4370********9169,2025-08-01,110,No,2,"25,000",2018-08-21,2020,No
C02773,2344,Visa,Debit,5111********5701,2026-03-01,980,No,4,"15,000",2017-04-17,2021,No
C01086,1251,Mastercard,Credit,5457********9396,2026-06-01,887,Yes,4,"5,000",2016-08-06,2022,No
C01971,975,Mastercard,Credit,4997********8212,2026-12-01,286,Yes,3,"15,000",2013-10-12,2023,No
C03629,1066,Visa,Debit,5906********6221,2028-09-01,442,Yes,4,"15,000",2022-01-06,2021,No
C01225,1795,American Express,Credit,5200********7557,2028-11-01,547,Yes,2,"10,000",2022-01-19,2021,No
C11977,1542,Mastercard,Credit,4492********8719,2025-08-01,960,Yes,2,"5,000",2011-05-25,2019,No
C09832,1127,Mastercard,Credit,4574********9748,2028-08-01,139,Yes,3,"5,000",2012-08-03,2023,No
C01837,536,Mastercard,Credit,5432********8261,2029-04-01,707,Yes,1,"5,000",2014-06-06,2018,No
C11751,2214,Visa,Credit,5316********8544,2030-04-01,107,Yes,3,"20,000",2010-08-23,2022,No
C05717,1263,American Express,Credit,5905********3146,2028-09-01,474,Yes,2,"10,000",2019-06-16,2021,No
C08890,975,Visa,Credit,5760********9441,2027-01-01,343,Yes,1,"5,000",2017-12-21,2021,No
C11359,2809,American Express,Credit,4214********1519,2027-01-01,387,Yes,1,"15,000",2012-04-09,2020,No
C11970,2746,Visa,Credit,4088********3540,2027-11-01,881,Yes,1,"15,000",2010-07-04,2023,No
C01267,719,Visa,Debit,5764********9552,2026-10-01,315,Yes,4,"25,000",2019-04-11,2021,No
C00225,1199,Visa,Debit,4289********4160,2029-01-01,715,Yes,4,"20,000",2011-09-25,2018,No
C11959,1660,Mastercard,Credit,4719********9583,2027-03-01,772,Yes,1,"5,000",2018-07-28,2018,No
C02161,2251,American Express,Credit,5297********3419,2026-12-01,159,Yes,3,"5,000",2020-01-10,2019,No
C10931,776,Mastercard,Debit,4243********2780,2030-01-01,600,Yes,1,"20,000",2021-04-22,2019,No
C00200,2605,Visa,Credit,4571********9118,2027-08-01,814,Yes,1,"25,000",2021-08-16,2020,No
C01839,69,American Express,Debit,5798********4421,2025-12-01,799,Yes,1,"10,000",2023-10-18,2018,No
C08086,2416,Mastercard,Credit,4061********6101,2029-06-01,106,Yes,2,"10,000",2020-03-10,2018,No
C01320,1121,American Express,Credit,4788********5534,2028-03-01,780,Yes,2,"15,000",2015-10-19,2018,No
C02691,1380,Mastercard,Credit,5809********4719,2028-05-01,529,Yes,2,"25,000",2023-10-16,2020,Yes
C05401,1507,Mastercard,Credit,5787********7760,2026-05-01,379,Yes,4,"25,000",2022-01-21,2022,No
C06268,2267,Visa,Credit,5813********6228,2028-05-01,495,No,3,"15,000",2017-06-23,2022,No
C06923,8,Mastercard,Credit,5411********8330,2028-01-01,940,Yes,1,"15,000",2014-02-07,2019,No
C01118,1425,Mastercard,Credit,5122********3725,2026-08-01,718,Yes,4,"10,000",2016-08-11,2020,No
C02251,2769,Mastercard,Credit,5924********8489,2028-11-01,940,No,1,"5,000",2011-05-10,2018,No
C06882,2931,Mastercard,Debit,4768********7681,2028-06-01,536,Yes,1,"10,000",2022-05-07,2019,No
C10032,587,Mastercard,Debit,5750********7588,2025-02-01,837,Yes,4,"10,000",2011-11-17,2020,No
C07043,1083,Visa,Debit,5605********3160,2030-12-01,142,Yes,4,"10,000",2011-01-05,2022,No
C08314,1272,Mastercard,Credit,4813********2007,2026-05-01,339,Yes,3,"5,000",2012-04-03,2020,No
C02669,872,Mastercard,Credit,4809********3527,2029-08-01,154,No,2,"20,000",2014-05-25,2019,No
C07444,2782,Mastercard,Credit,5813********1978,2030-04-01,924,Yes,1,"10,000",2010-01-01,2019,No
C03320,1265,Mastercard,Credit,4575********7716,2029-09-01,314,Yes,4,"5,000",2018-09-19,2021,No
C04500,445,Mastercard,Credit,5745********7035,2030-06-01,517,Yes,1,"15,000",2023-08-13,2022,No
C01843,438,American Express,Credit,5796********3963,2029-03-01,288,Yes,3,"15,000",2013-11-23,2022,No
C09682,1063,Visa,Credit,5303********9129,2029-01-01,450,Yes,2,"5,000",2018-06-16,2021,No
C03298,1936,Mastercard,Credit,4930********1311,2028-01-01,295,Yes,4,"15,000",2020-01-12,2022,No
C05152,644,Mastercard,Credit,4522********5590,2029-02-01,612,Yes,3,"10,000",2021-11-13,2019,Yes
C09928,12,American Express,Credit,5150********6491,2025-09-01,459,Yes,4,"15,000",2023-10-08,2023,No
C02218,2395,Visa,Debit,4602********6122,2028-02-01,858,Yes,4,"15,000",2015-02-27,2022,No
C04048,878,Mastercard,Debit,5833********6775,2028-08-01,282,Yes,4,"10,000",2013-01-05,2020,No
C07079,331,Mastercard,Credit,5331********1485,2025-10-01,405,Yes,1,"15,000",2018-02-18,2022,No
C11491,1648,Visa,Credit,4369********9522,2025-11-01,924,No,1,"10,000",2015-07-14,2019,No
C08316,1022,Visa,Credit,5888********9657,2026-09-01,124,Yes,2,"15,000",2011-09-09,2020,Yes
C04316,718,Mastercard,Credit,5109********5952,2030-04-01,989,Yes,3,"15,000",2016-10-11,2021,No
C04799,28,Visa,Credit,5791********9041,2025-12-01,598,Yes,1,"15,000",2019-05-14,2020,No
C04925,1027,Mastercard,Credit,4186********8330,2028-08-01,601,Yes,1,"10,000",2012-10-04,2020,No
C11754,302,American Express,Credit,4472********9929,2025-04-01,418,Yes,1,"5,000",2014-06-21,2018,No
C02949,860,Mastercard,Credit,5921********9152,2027-12-01,382,Yes,4,"10,000",2022-10-09,2021,No
C06338,596,Visa,Debit,5538********5732,2029-06-01,678,Yes,4,"15,000",2019-09-28,2023,No
C07725,1128,American Express,Credit,4734********6084,2028-09-01,780,Yes,1,"5,000",2022-10-21,2023,No
C08323,1058,Mastercard,Credit,5885********9135,2029-03-01,791,Yes,4,"5,000",2022-10-03,2022,No
C11287,392,Visa,Credit,4217********3824,2027-02-01,476,No,1,"5,000",2017-11-20,2019,No
C06539,2039,Mastercard,Credit,4389********8421,2029-08-01,680,Yes,2,"5,000",2011-05-24,2018,No
C04902,2595,American Express,Debit,4500********8162,2026-12-01,266,Yes,2,"25,000",2013-03-24,2022,No
C11704,362,American Express,Debit,4715********9852,2029-10-01,813,Yes,1,"10,000",2021-05-19,2020,No
C06051,1859,Mastercard,Credit,4033********4005,2030-08-01,105,Yes,2,"10,000",2012-03-07,2018,No
C02310,951,Mastercard,Debit,4317********4828,2030-11-01,795,No,4,"10,000",2021-05-04,2020,No
C03398,1163,Mastercard,Credit,5630********5627,2026-03-01,241,Yes,2,"25,000",2014-11-10,2018,Yes
C09896,872,Mastercard,Credit,5502********5539,2027-04-01,355,Yes,3,"10,000",2022-08-26,2021,No
C06911,1683,Mastercard,Credit,4872********6647,2027-02-01,775,Yes,4,"15,000",2019-02-26,2021,No
C01059,54,American Express,Credit,5035********6704,2029-01-01,771,Yes,1,"15,000",2010-08-24,2021,Yes
C04493,461,Visa,Debit,5141********9072,2026-04-01,682,Yes,4,"15,000",2015-08-17,2018,No
C05846,2070,Mastercard,Credit,4269********7578,2026-11-01,105,Yes,4,"5,000",2013-07-02,2022,No
C07761,849,American Express,Credit,4625********7066,2027-03-01,396,Yes,4,"15,000",2014-07-17,2018,No
C04046,1481,Visa,Debit,5957********1764,2026-10-01,493,Yes,2,"5,000",2022-08-05,2018,No
C11587,1923,Mastercard,Credit,4481********4022,2025-04-01,488,No,3,"5,000",2016-12-08,2023,No
C00867,1868,Mastercard,Credit,5805********8453,2029-04-01,768,Yes,2,"20,000",2020-08-19,2023,No
C10159,2719,Visa,Debit,5284********7730,2029-08-01,702,Yes,3,"10,000",2021-04-13,2023,No
C07991,1484,Mastercard,Credit,4927********7693,2027-01-01,811,Yes,2,"10,000",2020-08-10,2020,No
C00683,1537,American Express,Debit,4573********9649,2025-06-01,642,Yes,1,"15,000",2022-02-13,2023,No
C02562,2419,Mastercard,Credit,4582********7885,2026-04-01,464,Yes,1,"10,000",2019-07-14,2022,No
C09261,2001,Visa,Credit,5545********7307,2029-07-01,894,Yes,2,"10,000",2019-10-08,2018,No
C05808,2159,Visa,Credit,5051********1701,2028-01-01,851,Yes,4,"5,000",2012-09-11,2020,No
C00934,2402,Mastercard,Debit,4022********8150,2027-02-01,653,No,4,"20,000",2021-05-25,2019,No
C11823,1104,Visa,Debit,4678********4665,2027-04-01,928,Yes,2,"20,000",2012-01-07,2018,No
C02748,2240,Visa,Credit,4195********8651,2029-06-01,186,Yes,4,"5,000",2012-04-23,2018,No
C01775,2767,Mastercard,Debit,5724********8202,2025-09-01,398,Yes,3,"15,000",2020-09-03,2023,No
C09292,1214,Mastercard,Credit,4394********2653,2026-06-01,748,Yes,4,"25,000",2018-07-19,2022,No
C09189,463,Visa,Credit,4894********4308,2027-07-01,852,Yes,1,"20,000",2013-01-12,2023,No
C03817,21,American Express,Debit,4452********2218,2025-05-01,459,Yes,1,"15,000",2014-05-11,2021,No
C05973,2002,Visa,Credit,5280********4548,2029-12-01,321,Yes,2,"15,000",2018-08-23,2021,No
C05938,1198,Mastercard,Credit,4779********1358,2026-09-01,468,Yes,1,"5,000",2023-02-18,2018,No
